
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-05 18:21:52 /snapshots/cam_1_20260405_182050_434.jpg ............................................. ~ 0.31ms
  2026-04-05 18:21:52 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:21:54 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:21:54 /frames/cam_1.jpg?t=1775391712358 ........................................................ ~ 1s
  2026-04-05 18:21:55 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:21:55 /frames/cam_1.jpg?t=1775391713369 ........................................................ ~ 1s
  2026-04-05 18:21:55 /frames/cam_1.jpg?t=1775391714358 ........................................................ ~ 1s
  2026-04-05 18:21:57 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:21:55 /frames/cam_1.jpg?t=1775391715362 ........................................................ ~ 2s
  2026-04-05 18:21:57 /frames/cam_1.jpg?t=1775391716367 ........................................................ ~ 1s
  2026-04-05 18:21:58 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:21:58 /frames/cam_1.jpg?t=1775391717361 ........................................................ ~ 1s
  2026-04-05 18:21:59 /frames/cam_1.jpg?t=1775391718359 .................................................... ~ 3.81ms
  2026-04-05 18:21:59 /frames/cam_1.jpg?t=1775391719367 ................................................... ~ 30.45ms
  2026-04-05 18:21:59 /api/detections/latest ............................................................. ~ 595.20ms
  2026-04-05 18:22:00 /frames/cam_1.jpg?t=1775391720369 .................................................... ~ 0.73ms
  2026-04-05 18:22:01 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:02 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:22:03 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:22:03 /api/internal/cameras .................................................................... ~ 2s
  2026-04-05 18:22:02 /frames/cam_1.jpg?t=1775391721367 ........................................................ ~ 3s
  2026-04-05 18:22:04 /api/detections/latest ................................................................... ~ 2s
  2026-04-05 18:22:07 /api/internal/cameras .................................................................... ~ 1s
  2026-04-05 18:22:06 /frames/cam_1.jpg?t=1775391722359 ........................................................ ~ 2s
  2026-04-05 18:22:07 /frames/cam_1.jpg?t=1775391723370 ........................................................ ~ 1s
  2026-04-05 18:22:08 /frames/cam_1.jpg?t=1775391724364 .................................................... ~ 9.33ms
  2026-04-05 18:22:08 /frames/cam_1.jpg ........................................................................ ~ 1s
  2026-04-05 18:22:08 /api/detections/report ................................................................... ~ 2s
  2026-04-05 18:22:08 /frames/cam_1.jpg?t=1775391725359 ........................................................ ~ 2s
  2026-04-05 18:22:08 /snapshots/cam_1_20260405_182201_232.jpg ................................................. ~ 2s
  2026-04-05 18:22:10 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:09 /frames/cam_1.jpg?t=1775391727364 ........................................................ ~ 2s
  2026-04-05 18:22:10 /frames/cam_1.jpg?t=1775391728373 ........................................................ ~ 1s
  2026-04-05 18:22:11 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:22:11 /frames/cam_1.jpg?t=1775391729362 ........................................................ ~ 1s
  2026-04-05 18:22:11 /frames/cam_1.jpg?t=1775391730372 ........................................................ ~ 1s
  2026-04-05 18:22:12 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:22:12 /api/detections/latest ................................................................... ~ 2s
  2026-04-05 18:22:11 /frames/cam_1.jpg?t=1775391731366 ........................................................ ~ 3s
  2026-04-05 18:22:13 /frames/cam_1.jpg?t=1775391732371 ........................................................ ~ 1s
  2026-04-05 18:22:15 /frames/cam_1.jpg?t=1775391733369 .................................................... ~ 7.01ms
  2026-04-05 18:22:15 /snapshots/cam_1_20260405_182210_570.jpg ............................................ ~ 10.27ms
  2026-04-05 18:22:15 /frames/cam_1.jpg?t=1775391734364 ................................................... ~ 12.64ms
  2026-04-05 18:22:15 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:16 /frames/cam_1.jpg?t=1775391735364 .................................................... ~ 0.47ms
  2026-04-05 18:22:16 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:17 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:22:17 /api/detections/latest ................................................................... ~ 2s
  2026-04-05 18:22:17 /frames/cam_1.jpg?t=1775391736365 ........................................................ ~ 2s
  2026-04-05 18:22:18 /frames/cam_1.jpg?t=1775391737373 ........................................................ ~ 1s
  2026-04-05 18:22:19 /frames/cam_1.jpg?t=1775391738362 .................................................... ~ 4.17ms
  2026-04-05 18:22:19 /frames/cam_1.jpg?t=1775391739367 .................................................... ~ 8.41ms
  2026-04-05 18:22:19 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:20 /api/internal/alert ...................................................................... ~ 1s
  127.0.0.1:57755 [404]: GET /frames/cam_1.jpg?t=1775391740368 - No such file or directory
  2026-04-05 18:22:20 .......................................................................................... ~ 1s
  2026-04-05 18:22:21 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:22:21 /frames/cam_1.jpg?t=1775391741371 ........................................................ ~ 1s
  2026-04-05 18:22:22 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:22 /frames/cam_1.jpg?t=1775391742367 ........................................................ ~ 1s
  2026-04-05 18:22:24 /api/internal/cameras .................................................................... ~ 1s
  2026-04-05 18:22:24 /frames/cam_1.jpg?t=1775391743367 ........................................................ ~ 1s
  127.0.0.1:57774 [404]: GET /frames/cam_1.jpg?t=1775391744361 - No such file or directory
  2026-04-05 18:22:24 /snapshots/cam_1_20260405_182219_520.jpg ................................................. ~ 1s
  2026-04-05 18:22:25 ..................................................................................... ~ 15.30ms
  2026-04-05 18:22:25 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:25 /frames/cam_1.jpg?t=1775391745360 ........................................................ ~ 1s
  2026-04-05 18:22:26 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:22:26 /frames/cam_1.jpg?t=1775391746362 ........................................................ ~ 1s
  2026-04-05 18:22:27 /frames/cam_1.jpg?t=1775391747367 .................................................... ~ 4.54ms
  2026-04-05 18:22:27 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:22:29 /api/detections/latest ................................................................... ~ 1s
  127.0.0.1:57783 [404]: GET /frames/cam_1.jpg?t=1775391749360 - No such file or directory
  2026-04-05 18:22:29 /frames/cam_1.jpg?t=1775391748373 ........................................................ ~ 1s
  2026-04-05 18:22:29 .......................................................................................... ~ 1s
  2026-04-05 18:22:30 /frames/cam_1.jpg?t=1775391750359 .................................................... ~ 7.34ms
  2026-04-05 18:22:31 /frames/cam_1.jpg?t=1775391751373 .................................................... ~ 2.47ms
  2026-04-05 18:22:31 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:22:31 /api/detections/latest ................................................................... ~ 2s
  127.0.0.1:57796 [404]: GET /frames/cam_1.jpg?t=1775391753368 - No such file or directory
  2026-04-05 18:22:32 /frames/cam_1.jpg?t=1775391752369 ........................................................ ~ 1s
  2026-04-05 18:22:33 ...................................................................................... ~ 4.80ms
  2026-04-05 18:22:33 /snapshots/cam_1_20260405_182227_658.jpg ............................................ ~ 13.43ms
  2026-04-05 18:22:34 /frames/cam_1.jpg?t=1775391754358 .................................................... ~ 1.17ms
  2026-04-05 18:22:34 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:35 /frames/cam_1.jpg?t=1775391755371 .................................................... ~ 0.47ms
