
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-06 10:27:25 /frames/cam_1.jpg?t=1775449645198 .................................................... ~ 1.49ms
  2026-04-06 10:27:25 /api/detections/report ................................................................... ~ 1s
  2026-04-06 10:27:25 /api/detections/latest ............................................................. ~ 519.11ms
  2026-04-06 10:27:26 /frames/cam_1.jpg?t=1775449646195 .................................................... ~ 0.54ms
  2026-04-06 10:27:27 /frames/cam_1.jpg?t=1775449647190 .................................................... ~ 0.83ms
  2026-04-06 10:27:28 /api/detections/latest ............................................................. ~ 500.59ms
  2026-04-06 10:27:28 /frames/cam_1.jpg?t=1775449648194 .................................................. ~ 503.98ms
  2026-04-06 10:27:28 /api/internal/cameras .............................................................. ~ 512.88ms
  2026-04-06 10:27:29 /frames/cam_1.jpg?t=1775449649191 .................................................... ~ 0.44ms
  2026-04-06 10:27:30 /api/detections/report ................................................................... ~ 1s
  2026-04-06 10:27:30 /frames/cam_1.jpg?t=1775449650190 ........................................................ ~ 1s
  2026-04-06 10:27:31 /api/detections/latest ................................................................... ~ 1s
  2026-04-06 10:27:31 /frames/cam_1.jpg?t=1775449651206 ........................................................ ~ 1s
  2026-04-06 10:27:32 /frames/cam_1.jpg?t=1775449652360 .................................................... ~ 6.17ms
  2026-04-06 10:27:34 /frames/cam_1.jpg?t=1775449654215 .................................................... ~ 0.80ms
  2026-04-06 10:27:34 /api/detections/latest ............................................................. ~ 557.59ms
  2026-04-06 10:27:35 /api/detections/report ................................................................... ~ 1s
  2026-04-06 10:27:35 /frames/cam_1.jpg?t=1775449655203 ........................................................ ~ 1s
  2026-04-06 10:27:36 /api/detections/latest ................................................................... ~ 1s
  2026-04-06 10:27:36 /frames/cam_1.jpg?t=1775449656373 ........................................................ ~ 1s
  2026-04-06 10:27:37 /frames/cam_1.jpg?t=1775449657426 .................................................. ~ 581.37ms
  2026-04-06 10:27:38 /frames/cam_1.jpg?t=1775449658310 .................................................... ~ 1.78ms
  2026-04-06 10:27:39 /frames/cam_1.jpg?t=1775449659444 .................................................... ~ 2.21ms
  2026-04-06 10:27:39 /api/detections/report ................................................................... ~ 2s
  2026-04-06 10:27:41 /api/detections/latest ................................................................... ~ 1s
  2026-04-06 10:27:43 /frames/cam_1.jpg?t=1775449663713 .................................................. ~ 121.93ms
  2026-04-06 10:27:43 /api/detections/latest ................................................................... ~ 1s
